"species";"lookup";"match"
"– D. cantabrica (HUDS.) K. KOCHÄhnlich: ";"Irische G. – D. cantabrica (HUDS.) K. KOCHÄhnlich: ";"Z z"
"– Rh. dauricum L.";"Dahurische Azalee – Rh. dauricum L.";"Z s"
"– Rh. mucronulatum TURCZ.3 (1) KrZipfel ";"Stachelspitzige Azalee – Rh. mucronulatum TURCZ.3 (1) KrZipfel ";NA
"– Rh. impeditum BALF. f. et W. W. SM.";"Veilchenblauer Rh. – Rh. impeditum BALF. f. et W. W. SM.";"Z z"
"– Rh. russatum BALF. f. et FORREST6* Gri";"Rötlicher Rh. – Rh. russatum BALF. f. et FORREST6* Gri";"Z z"
"– Rh. hippophaëoides BALF. f. et W. W. S";"Grauer Rh. – Rh. hippophaëoides BALF. f. et W. W. S";"Z z"
"– L. palustre L.";"Sumpf-P. – L. palustre L.";"Z s"
"– L. groenlandicum OEDER";"Grönländischer P. – L. groenlandicum OEDER";"Z s"
"– C. hypnoides (L.) D. DON2* KBl stumpf.";"Moosähnliche Sch. – C. hypnoides (L.) D. DON2* KBl stumpf.";"Z s"
"– C. stelleriana (PALL.) DC.3 (1) BlUSei";"Steller-Sch. – C. stelleriana (PALL.) DC.3 (1) BlUSei";"Z s"
"– C. tetragona (L.) D. DONÄhnlich: Ward-";"Vierkant-Sch. – C. tetragona (L.) D. DONÄhnlich: Ward-";NA
"– C. lycopodioides (PALL.) D. DON4* Stg ";"Bärlappähnliche Sch. – C. lycopodioides (PALL.) D. DON4* Stg ";"Z s"
"– C. mertensiana (BONG.) D. DON";"Weiße Sch. – C. mertensiana (BONG.) D. DON";"Z s"
"– G. procumbens L.2* Pfl bis 150 cm hoch";"Niedere R. – G. procumbens L.2* Pfl bis 150 cm hoch";"Z s"
"– G. mucronata (L. f.) HOOK. et ARN.3 (1";"Stechende R., Torfmyrte – G. mucronata (L. f.) HOOK. et ARN.3 (1";"Z s"
"– G. miqueliana TAKEDA";"Miquel-R. – G. miqueliana TAKEDA";"Z s"
"– G. shallon PURSH";"Hohe R. – G. shallon PURSH";"Z z"
"– A. polifolia L.";"Polei-G., Rosmarinheide – A. polifolia L.";"Z s"
"– A. glaucophylla LINK";"Behaarte G., Behaarte Rosmarinheide – A. glaucophylla LINK";"Z s"
"– Z. pulverulenta (W. BARTRAM ex WILLD.)";"Gewöhnliche Z. – Z. pulverulenta (W. BARTRAM ex WILLD.)";"Z s"
"– A. alpinus (L.) SPRENG.1* Bl ganzrandi";"Alpen-B. – A. alpinus (L.) SPRENG.1* Bl ganzrandi";"Z s"
"– A. uva-ursi (L.) SPRENG.";"Echte B. – A. uva-ursi (L.) SPRENG.";"Z s"
"– V. macrocarpon AITON2* Bl eifg bis 3ec";"Großfrüchtige Moosbeere, Krannbeere – V. macrocarpon AITON2* Bl eifg bis 3ec";"Z s"
"– V. oxycoccus L.";"Gewöhnliche Moosbeere – V. oxycoccus L.";"Z s"
"– V. vitis-idaea L. 3* Bl sommergrün, kr";"Preiselbeere, Kronsbeere – V. vitis-idaea L. 3* Bl sommergrün, kr";"Z s"
"– V. corymbosum L.4* FrKn 4- od. 5fächri";"Amerikanische H. – V. corymbosum L.4* FrKn 4- od. 5fächri";"Z s"
"– V. uliginosum L.5* Bl am Rand gesägt, ";"Moor-H., Rauschbeere, Trunkelbeere – V. uliginosum L.5* Bl am Rand gesägt, ";"Z s"
"– V. myrtillus L.6* Strauch. Äste stielr";"Heidelbeere, Blaubeere – V. myrtillus L.6* Strauch. Äste stielr";"Z s"
"– V. arctostaphylos L.";"Kaukasische H. – V. arctostaphylos L.";"Z s"
"– C. vulgaris (L.) HULL";"Heidekraut, Besenheide – C. vulgaris (L.) HULL";"Z z"
"– E. gracilis J. C. WENDL.2* Pfl winterh";"Schlanke H. – E. gracilis J. C. WENDL.2* Pfl winterh";"Z z"
"– E. tetralix L.";"Glocken-H. – E. tetralix L.";"Z s"
"– E. terminalis SALISB.4* Stg grauhaarig";"Steife H. – E. terminalis SALISB.4* Stg grauhaarig";"Z s"
"– E. cinerea L.";"Graue H. – E. cinerea L.";"Z s"
"– E. ciliaris L.";"Wimper-H. – E. ciliaris L.";"Z s"
"– E. vagans L.";"Cornwall-H. – E. vagans L.";"Z s"
"– E. carnea L.7* Stg behaart. Staubbeute";"Schnee-H. – E. carnea L.7* Stg behaart. Staubbeute";"Z z"
"– E. erigena R. ROSS";"Purpur-H. – E. erigena R. ROSS";"Z s"
"– E. rubrum VAHL ex WILLD.";"Rotfrüchtige K. – E. rubrum VAHL ex WILLD.";"Z s"
"– Sh. soldanelloides (SIEBOLD et Zucc.) ";"Alpenglöckchenähnliches W. – Sh. soldanelloides (SIEBOLD et Zucc.) ";"Z s"
"– Sh. galacifolia TORR. et A. GRAY2* Sta";"Galaxblättriges W. – Sh. galacifolia TORR. et A. GRAY2* Sta";"Z s"
"– Sh. uniflora (MAXIM.) MAXIM.";"Einblütiges W. – Sh. uniflora (MAXIM.) MAXIM.";"Z s"
"– L. atropurpurea L.";"Purpurblütiger F. – L. atropurpurea L.";"Z s"
"– L. ephemerum L.";"Iberischer F. – L. ephemerum L.";"Z s"
"– L. fortunei MAXIM.";"Fortune-F. – L. fortunei MAXIM.";"Z s"
"– L. clethroides DUBY5* Bl lineal-lanzet";"Schnee-F., Entenschnabel-F. – L. clethroides DUBY5* Bl lineal-lanzet";"Z s"
"– L. barystachys BUNGE6 (1) B 6–7zählig,";"Schwerähriger F. – L. barystachys BUNGE6 (1) B 6–7zählig,";"Z s"
"– L. thyrsiflora L.";"Strauß-G. – L. thyrsiflora L.";"Z s"
"– L. congestiflora HEMSL.Bem.: Im Garten";"Gedrängtblütiger G. – L. congestiflora HEMSL.Bem.: Im Garten";"Z s"
"– L. henryi HEMSL.: B am StgEnde kopfig ";"Henry-G. – L. henryi HEMSL.: B am StgEnde kopfig ";"Z z"
"– L. ciliata L.";"Bewimperter G. – L. ciliata L.";"Z s"
"– L. vulgaris L.";"Gewöhnlicher G. – L. vulgaris L.";"Z z"
"– L. punctata L.";"Drüsiger G. – L. punctata L.";"Z z"
"– L. nummularia L.12* BlSpreite eifg, sp";"Pfennig-G., Pfennigkraut – L. nummularia L.12* BlSpreite eifg, sp";"Z s"
"– L. nemorum L.";"Hain-G. – L. nemorum L.";"Z s"
"– T. europaea L.";"Europäischer S. – T. europaea L.";"Z s"
"– A. monellii L.";"Mittelmeer-G. – A. monellii L.";"Z s"
"– A. tenella (L.) L.";"Zarter G. – A. tenella (L.) L.";"Z s"
"– A. alternifolia CAV. var. repens (D’UR";"Wechselblättriger G. – A. alternifolia CAV. var. repens (D’UR";"Z s"
"– C. persicum MILL.";"Zimmer-A. – C. persicum MILL.";"Z v"
"– C. rohlfsianum ASCH.2* StaubBlKegel di";"Libysches A. – C. rohlfsianum ASCH.2* StaubBlKegel di";"Z s"
"– C. graecum LINK";"Griechisches A. – C. graecum LINK";"Z s"
"– C. cyprium KOTSCHY6 (4) Knolle in der ";"Zyprisches A. – C. cyprium KOTSCHY6 (4) Knolle in der ";"Z s"
"– C. hederifolium AITON6* Knolle ringsum";"Herbst-A., Neapolitanisches A. – C. hederifolium AITON6* Knolle ringsum";"Z s"
"– C. africanum BOISS. et REUT.";"Algerisches A. – C. africanum BOISS. et REUT.";"Z s"
"– C. purpurascens MILL.";"Wildes A. – C. purpurascens MILL.";"Z z"
"– C. cilicium BOISS. et HELDR.9* KrZipfe";"Türkisches A. – C. cilicium BOISS. et HELDR.9* KrZipfe";"Z s"
"– C. mirabile HILDEBR.";"Wunderbares A. – C. mirabile HILDEBR.";"Z s"
"– C. balearicum WILLK.";"Balearen-A. – C. balearicum WILLK.";"Z s"
"– C. creticum (DÖRFL.) HILDEBR.12 (10) K";"Kreta-A. – C. creticum (DÖRFL.) HILDEBR.12 (10) K";"Z s"
"– C. repandum SIBTH. et SM.12* KrZipfel ";"Efeublättriges A. – C. repandum SIBTH. et SM.12* KrZipfel ";"Z s"
"– C. coum MILL.";"Freiland-A. – C. coum MILL.";"Z z"
"– C. pseudibericum HILDEBR.";"Südosttürkisches A. – C. pseudibericum HILDEBR.";"Z s"
"– C. trochopteranthum O. SCHWARZ15* KrZi";"Flügelrand-A. – C. trochopteranthum O. SCHWARZ15* KrZi";"Z s"
"– C. parviflorum PODP.";"Kleinblütiges A. – C. parviflorum PODP.";"Z s"
"– C. semenovii REGEL1* Kr purpurn, den K";"Semenov-H. – C. semenovii REGEL1* Kr purpurn, den K";"Z s"
"– C. pekinensis (V. A. RICHT.) LOSINSK.:";"Peking-H., Chinesi-sches H. – C. pekinensis (V. A. RICHT.) LOSINSK.:";"Z z"
"– A. maxima L.";"Riesen-M. – A. maxima L.";"Z s"
"– A. filiformis RETZ.";"Fädiger M. – A. filiformis RETZ.";"Z s"
"– A. elongata L.";"Verlängerter M. – A. elongata L.";"Z s"
"– A. septentrionalis L.5 (1) B zu wenige";"Nördlicher M. – A. septentrionalis L.5 (1) B zu wenige";"Z s"
"– A. rotundifolia HARDW.7* BlSpreite fäc";"Rundblättriger M. – A. rotundifolia HARDW.7* BlSpreite fäc";"Z s"
"– A. alchemilloides FRANCH. ";"Frauenmantel-M. – A. alchemilloides FRANCH. ";"Z s"
"– A. strigillosa FRANCH. 9* Pfl mit Ausl";"Sikkim-M. – A. strigillosa FRANCH. 9* Pfl mit Ausl";"Z s"
"– A. lactea L. ";"Milchweißer M. – A. lactea L. ";"Z z"
"– A. villosa L. 12* Bl beidseits ± kahl,";"Zottiger M. – A. villosa L. 12* Bl beidseits ± kahl,";"Z s"
"– A. chamaejasme WULFEN";"Bewimperter M. – A. chamaejasme WULFEN";"Z s"
"– A. carnea L. 13* Bl verkehrteilanzettl";"Fleischroter M. – A. carnea L. 13* Bl verkehrteilanzettl";"Z s"
"– A. obtusifolia L. Ähnlich: Balkanische";"Stumpfblättriger M. – A. obtusifolia L. Ähnlich: Balkanische";"Z s"
"– A. globifera DUBY";"Kugeltragender M. – A. globifera DUBY";"Z s"
"– A. pyrenaica LAM.16 (14) BStiel meist ";"Pyrenäen-M. – A. pyrenaica LAM.16 (14) BStiel meist ";"Z s"
"– A. vandellii (TURRA) CHIOV.18* Bl mit ";"Vandell-M. – A. vandellii (TURRA) CHIOV.18* Bl mit ";"Z s"
"– A. cylindrica DC.";"Zylindrischer M. – A. cylindrica DC.";"Z s"
"– A. helvetica (L.) ALL.";"Schweizer M. – A. helvetica (L.) ALL.";"Z s"
"– A. mathildae LEVIER20* Bl mit einfache";"Apenninischer M. – A. mathildae LEVIER20* Bl mit einfache";"Z s"
"– A. pubescens DC.";"Weichhaariger M. – A. pubescens DC.";"Z s"
"– P. alpinum L. Folgende Unterarten sind";"Alpen-M. – P. alpinum L. Folgende Unterarten sind";NA
"– P. auricula L.Ähnlich: Garten-P., Gart";"Gamsblume, Alpen-Aurikel – P. auricula L.Ähnlich: Garten-P., Gart";"Z v"
"– P. palinuri PETAGNA";"Palinuri-P. – P. palinuri PETAGNA";"Z z"
"– P. ellisiae POLLARD et COCKERELL5* Kr ";"New Mexico-P. – P. ellisiae POLLARD et COCKERELL5* Kr ";"Z s"
"– P. marginata CURTIS";"Seealpen-P. – P. marginata CURTIS";"Z z"
"– P. latifolia LAPEYR.7 (4) BlRand kahl ";"Breitblättrige P. – P. latifolia LAPEYR.7 (4) BlRand kahl ";"Z s"
"– P. spectabilis TRATT.8* Bl ohne durchs";"Ansehnliche P. – P. spectabilis TRATT.8* Bl ohne durchs";"Z s"
"– P. minima L.9* Bl lanzettlich, länglic";"Zwerg-P., Habmichlieb – P. minima L.9* Bl lanzettlich, länglic";"Z z"
"– P. wulfeniana SCHOTT10* BStand 3–5(–6)";"Wulfen-P., Südostalpen-P. – P. wulfeniana SCHOTT10* BStand 3–5(–6)";"Z s"
"– P. glaucescens MORETTI";"Meergrüne P. – P. glaucescens MORETTI";"Z s"
"– P. pedemontana D. THOMAS ex GAUDIN12* ";"Piemont-P. – P. pedemontana D. THOMAS ex GAUDIN12* ";"Z s"
"– P. villosa WULFEN";"Zottige P. – P. villosa WULFEN";"Z s"
"– P. hirsuta ALL.";"Behaarte P. – P. hirsuta ALL.";"Z s"
"– P. allionii LOISEL.14* Schaft > 5 mm l";"Allioni-P. – P. allionii LOISEL.14* Schaft > 5 mm l";"Z s"
"– P. integrifolia L.";"Ganzblättrige P. – P. integrifolia L.";"Z s"
"– P. clusiana TAUSCH";"Clusius-P. – P. clusiana TAUSCH";"Z s"
"– P. megaseifolia BOISS. et BALF.";"Schwarzmeer-P. – P. megaseifolia BOISS. et BALF.";"Z s"
"– P. juliae KUSN.";"Teppich-P. – P. juliae KUSN.";"Z s"
"– P. clarkei G. WATT";"Clark-P. – P. clarkei G. WATT";"Z s"
"– P. polyneura FRANCH.21* BlSpreite eifg";"Vielnervige P., Veitch-P. – P. polyneura FRANCH.21* BlSpreite eifg";"Z s"
"– P. sieboldii E. MORREN22* KZipfel aufr";"Siebold-P. – P. sieboldii E. MORREN22* KZipfel aufr";"Z s"
"– P. cortusoides L.23 (17) Schaft fehlen";"Heilglöckel-P. – P. cortusoides L.23 (17) Schaft fehlen";"Z s"
"– P. vulgaris HUDS.";"Schaftlose P. – P. vulgaris HUDS.";"Z s"
"– P. flaccida N. P. BALAKR.";"Ähren-P. – P. flaccida N. P. BALAKR.";"Z s"
"– P. vialii DELAVAY ex FRANCH.26 (24) B ";"Orchideen-P. – P. vialii DELAVAY ex FRANCH.26 (24) B ";"Z s"
"– P. reidii DUTHIE27* BStand mit >15 B  ";"Reid-P. – P. reidii DUTHIE27* BStand mit >15 B  ";"Z s"
"– P. capitata HOOK f.Unterarten:subsp. c";"Kopf-P. – P. capitata HOOK f.Unterarten:subsp. c";"Z s"
"– P. denticulata SM.";"Kugel-P. – P. denticulata SM.";"Z z"
"– P. veris L.34* Bl useits kahl. Schaft ";"Wiesen-P., Wiesenschlüsselblume, Himmelschlüssel – P. veris L.34* Bl useits kahl. Schaft ";"Z s"
"– P. florindae KINGDON-WARD";"Tibet-P. – P. florindae KINGDON-WARD";"Z z"
"– P. rosea ROYLE36* Bl u. Schaft mehlig ";"Rosen-P. – P. rosea ROYLE36* Bl u. Schaft mehlig ";"Z z"
"– P. farinosa L.Ähnlich: Laubreiche P. –";"Mehl-P. – P. farinosa L.Ähnlich: Laubreiche P. –";"Z z"
"– P. chionantha BALF. f. et FORREST38 (3";"Weißblütige P. – P. chionantha BALF. f. et FORREST38 (3";"Z s"
"– P. sikkimensis HOOK.";"Sikkim-P. – P. sikkimensis HOOK.";"Z z"
"– P. elatior (L.) HILL39* KrSaum ± glock";"Hohe P., Wald-P., Hohe Sch., Himmelschlüssel – P. elatior (L.) HILL39* KrSaum ± glock";"Z z"
"– P. poissonii FRANCH.";"Poisson-P. – P. poissonii FRANCH.";"Z s"
"– P. aurantiaca W. W. SM. et FORREST43* ";"Orangeblütige P. – P. aurantiaca W. W. SM. et FORREST43* ";"Z s"
"– P. bulleyana FORREST subsp. bulleyana4";"Bulley-P. – P. bulleyana FORREST subsp. bulleyana4";"Z s"
"– P. cockburniana HEMSL., s. 4533* Kr ge";"Cockburn-P. – P. cockburniana HEMSL., s. 4533* Kr ge";NA
"– P. chungensis BALF. f. et KINGDON-WARD";"Yunnan-P. – P. chungensis BALF. f. et KINGDON-WARD";"Z s"
"– P. japonica A. GRAY48* Bl verkehrteila";"Japan-P. – P. japonica A. GRAY48* Bl verkehrteila";"Z z"
"– P. burmanica BALF. f. et KINGDON-WARD4";"Burma-P. – P. burmanica BALF. f. et KINGDON-WARD4";"Z s"
"– P. bulleyana FORREST subsp. beesiana (";"Bees-P. – P. bulleyana FORREST subsp. beesiana (";"Z s"
"– P. pulverulenta DUTHIE";"Sichuan-P. – P. pulverulenta DUTHIE";"Z z"
"– D. involucrata ZAPRJAG.";"Hüllkelch-D. – D. involucrata ZAPRJAG.";"Z s"
"– D. aretioides (LEHM.) BOISS.2* Bl am b";"Rollblatt-D. – D. aretioides (LEHM.) BOISS.2* Bl am b";"Z s"
"– D. tapetodes BUNGE";"Matten-D. – D. tapetodes BUNGE";"Z s"
"– D. dentatum HOOK.2* Narbe doppelt so b";"Gezähnte G. – D. dentatum HOOK.2* Narbe doppelt so b";"Z s"
"– D. alpinum (A. GRAY) GREENE";"Alpine G. – D. alpinum (A. GRAY) GREENE";"Z s"
"– D. jeffreyi VAN HOUTTE";"Hohe G. – D. jeffreyi VAN HOUTTE";"Z s"
". – D. hendersonii A. GRAY5* Rhizom zur ";"Henderson-G . – D. hendersonii A. GRAY5* Rhizom zur ";NA
"– D. clevelandii GREENE";"Cleveland-G. – D. clevelandii GREENE";NA
"– D. pulchellum (RAF.) MERR. subsp. pulc";"Schöne G. – D. pulchellum (RAF.) MERR. subsp. pulc";"Z s"
"– D. pulchellum (RAF.) MERR. subsp. cusi";"Columbia-G. – D. pulchellum (RAF.) MERR. subsp. cusi";"Z s"
"– D. meadia L.";"Mead-G. – D. meadia L.";"Z s"
"– S. pusilla BAUMG.";"Karpatisches Zwerg-A. – S. pusilla BAUMG.";"Z s"
"– S. pindicola HAUSSKN.";"Pindus-A. – S. pindicola HAUSSKN.";"Z s"
"– S. carpatica VIERH.";"Karpaten-A. – S. carpatica VIERH.";"Z s"
"– S. hungarica SIMONK.Ähnlich: Bulgarisc";"Ungarisches A. – S. hungarica SIMONK.Ähnlich: Bulgarisc";"Z s"
"– G. stipulata (MUHL.) BAILL.1* NebenBl ";"Südliche D. – G. stipulata (MUHL.) BAILL.1* NebenBl ";"Z s"
"– G. trifoliata (L.) MOENCH";"Nördliche D. – G. trifoliata (L.) MOENCH";"Z s"
"– P. caespitosum (NUTT. ex TORR. et A. G";"Mattenbildende F. – P. caespitosum (NUTT. ex TORR. et A. G";"Z s"
"– P. cinerascens (PIPER) RYDB.2* StaubBl";"Aschgraue F. – P. cinerascens (PIPER) RYDB.2* StaubBl";"Z s"
"– P. hendersonii (CANBY) RYDB.";"Henderson-F. – P. hendersonii (CANBY) RYDB.";"Z s"
"– L. pectinata (PURSH) KUNTZE";"Westamerikanische L. – L. pectinata (PURSH) KUNTZE";"Z s"
"– A. dioicus (WALTER) FERNALDÄhnlich: Ko";"Wald-G. – A. dioicus (WALTER) FERNALDÄhnlich: Ko";"Z z"
"– F. vulgaris MOENCH";"Kleines M., Knollen-S., Filipendelwurz – F. vulgaris MOENCH";"Z s"
"– F. rubra (HILL) B. L. ROB.3* KrBl weiß";"Rotes M., Amerikanisches M. – F. rubra (HILL) B. L. ROB.3* KrBl weiß";"Z s"
"– F. palmata (PALL.) MAXIM.4 (2) Seitenf";"Handblättriges M. – F. palmata (PALL.) MAXIM.4 (2) Seitenf";"Z s"
"– F. ulmaria (L.) MAXIM.";"Echtes M., Großes M. – F. ulmaria (L.) MAXIM.";"Z z"
"– F. camtschatica (PALL.) MAXIM.5* BStie";"Kamtschatka-M. – F. camtschatica (PALL.) MAXIM.5* BStie";"Z s"
"– F. × purpurea MAXIM.";"Hybrid-M. – F. × purpurea MAXIM.";"Z s"
"– R. odoratus L.2* Staude od. Spalierstr";"Zimt-H. – R. odoratus L.2* Staude od. Spalierstr";"Z s"
"– R. pentalobus HAYATA";"Kriech-H. – R. pentalobus HAYATA";"Z s"
"– R. × stellarcticus (E. G. K. LARSSON) ";"Alåkerbeere – R. × stellarcticus (E. G. K. LARSSON) ";"Z s"
"– R. nepalensis (HOOKER f.) KUNTZE6 (4) ";"Himalaja-H. – R. nepalensis (HOOKER f.) KUNTZE6 (4) ";"Z s"
"– R. illecebrosus FOCKEBem.: Weitere in ";"Japanische H. – R. illecebrosus FOCKEBem.: Weitere in ";"N v"
"– A. eupatoria L. 1* Bl useits grün bis ";"Kleiner O. – A. eupatoria L. 1* Bl useits grün bis ";"Z s"
"– A. procera WALLR.Wiesenknopf – Sanguis";"Großer O. – A. procera WALLR.Wiesenknopf – Sanguis";"Z s"
"– S. minor SCOP.1* BStände eilänglich od";"Kleiner W., Kleine Bibernelle – S. minor SCOP.1* BStände eilänglich od";"Z z"
"– S. dodecandra MORETTI3* KBl rötlichpur";"Südalpischer W. – S. dodecandra MORETTI3* KBl rötlichpur";"Z s"
"– S. hakusanensis MAKINO";"Hakusan-W. – S. hakusanensis MAKINO";"Z s"
"– S. officinalis L.";"Großer W. – S. officinalis L.";"Z z"
"– S. canadensis L.";"Kanadischer W. – S. canadensis L.";"Z s"
"– S. tenuifolia FISCH. ex LINK";"Ostasiatischer W. – S. tenuifolia FISCH. ex LINK";"Z s"
"– A. inermis HOOK. f.1* BBoden mit Stach";"Unbewehrtes St. – A. inermis HOOK. f.1* BBoden mit Stach";"Z s"
"– A. sericea J. JACQ.3* Blchen (13–)15–3";"Seidenhaariges St. – A. sericea J. JACQ.3* Blchen (13–)15–3";"Z s"
"– A. myriophylla LINDL.";"Tausendblättriges St. – A. myriophylla LINDL.";"Z s"
"– A. ovalifolia RUIZ et PAV.Ähnlich: Mag";"Südamerikanisches St. – A. ovalifolia RUIZ et PAV.Ähnlich: Mag";"Z s"
"– A. microphylla HOOK. f.6* Stacheln an ";"Braunblättriges St. – A. microphylla HOOK. f.6* Stacheln an ";"Z z"
"– A. buchananii HOOK. f.";"Blaugrünes St. – A. buchananii HOOK. f.";"Z s"
"– A. novae-zelandiae KIRK";"Piripiri-St. – A. novae-zelandiae KIRK";"Z s"
"– A. anserinifolia (J. R. FORST. et G. F";"Gänsefingerkraut-St. – A. anserinifolia (J. R. FORST. et G. F";"Z s"
"– A. caesiiglauca (BITTER) BERGMANS";"Graublaues St. – A. caesiiglauca (BITTER) BERGMANS";"Z s"
"– A. magellanica (LAM.) VAHL: Blchen 9–1";"Magellan-St. – A. magellanica (LAM.) VAHL: Blchen 9–1";NA
"– A. rugosa ALEF.: Kr gelb. StgBl meist ";"Gelbe S. – A. rugosa ALEF.: Kr gelb. StgBl meist ";NA
"– G. rossii (R. BR.) SER.";"Ross-N. – G. rossii (R. BR.) SER.";"Z s"
"– G. reptans L.";"Kriechende N. – G. reptans L.";"Z s"
"– G. triflorum PURSH5 (2) B aufrecht. Kr";"Prärie-N. – G. triflorum PURSH5 (2) B aufrecht. Kr";"Z s"
"– G. montanum L.";"Berg-N., Petersbart – G. montanum L.";"Z z"
"– D. microlepis BOISS.: Bl silbergrau-be";"Bulgarische N. – D. microlepis BOISS.: Bl silbergrau-be";NA
"– G. rivale L.";"Bach-N. – G. rivale L.";"Z s"
"– D. cruentus GRISEB.";"Rote N. – D. cruentus GRISEB.";NA
"– G. japonicum THUNB.8* BStiel mit Borst";"Japanische N. – G. japonicum THUNB.8* BStiel mit Borst";NA
"– G. aleppicum JACQ.Bem.: Die Arten der ";"Russische N. – G. aleppicum JACQ.Bem.: Die Arten der ";"Z s"
"– W. geoides WILLD.";"Gelapptblättrige W. – W. geoides WILLD.";"Z z"
"– W. ternata (STEPHAN) FRITSCHÄhnlich: E";"Dreiblättrige W. – W. ternata (STEPHAN) FRITSCHÄhnlich: E";"Z z"
"– P. salesoviana STEPHAN";"Dsungarisches F. – P. salesoviana STEPHAN";"Z s"
"– P. fruticosa L.";"Strauch-F., Fingerstrauch – P. fruticosa L.";"Z v"
"– P. palustris (L.) SCOP.";"Sumpf-F., Blutauge – P. palustris (L.) SCOP.";"Z s"
"– P. rupestris L.Ähnlich: Großes F. – P.";"Felsen-F. – P. rupestris L.Ähnlich: Großes F. – P.";"Z s"
"– P. multifida L.";"Schlitzblättriges F. – P. multifida L.";"Z s"
"– P. anserina L.";"Gänse-F. – P. anserina L.";"Z s"
"– P. bifurca L.";"Zweispaltiges F. – P. bifurca L.";"Z s"
"– P. chinensis SER.";"Chinesisches F. – P. chinensis SER.";"Z s"
"– P. erecta (L.) RAEUSCH.10* Untere StgB";"Blutwurz, Tormentill – P. erecta (L.) RAEUSCH.10* Untere StgB";"Z s"
"– P. anglica LAICHARD.";"Englisches F. – P. anglica LAICHARD.";"Z s"
"– P. speciosa WILLD.";"Ansehnliches F. – P. speciosa WILLD.";"Z s"
"– P. nitida L.";"Dolomiten-F. – P. nitida L.";"Z s"
"– P. sterilis (L.) GARCKE";"Erdbeer-F. – P. sterilis (L.) GARCKE";"Z s"
"– P. atrosanguinea LODD. ex D. DON var. ";"Blutrotes F. – P. atrosanguinea LODD. ex D. DON var. ";"Z s"
"– P. cuneata (WALL.) LEHM.";"Keiliges F. – P. cuneata (WALL.) LEHM.";"Z s"
"– P. eriocarpa WALL. ex LEHM.18 (16) End";"Wollfrüchtiges F. – P. eriocarpa WALL. ex LEHM.18 (16) End";"Z s"
"– P. megalantha TAKEDA";"Japanisches F. – P. megalantha TAKEDA";"Z z"
"– P. atrosanguinea LODD. ex D. DON var.a";"Silber-F. – P. atrosanguinea LODD. ex D. DON var.a";"Z z"
"– P. nepalensis HOOK.";"Nepal-F. – P. nepalensis HOOK.";"Z z"
"– P. tonguei hort. ex BAXT.";"Hybrid-F. – P. tonguei hort. ex BAXT.";"Z z"
"– P. caulescens L.";"Stängel-F. – P. caulescens L.";"Z s"
"– P. alba L.";"Weißes F. – P. alba L.";"Z z"
"– P. clusiana JACQ.";"Ostalpen-F. – P. clusiana JACQ.";"Z s"
"– P. reptans L.";"Kriechendes F. – P. reptans L.";"Z z"
"– P. aurea L. subsp. aurea";"Gold-F. – P. aurea L. subsp. aurea";"Z z"
"– P. cinerea CHAIX et VILL.27* Ganze Pfl";"Sand-F. – P. cinerea CHAIX et VILL.27* Ganze Pfl";"Z s"
"– P. heptaphylla L.";"Rötliches F. – P. heptaphylla L.";"Z s"
"– P. recta L.30* Stg bogig aufsteigend b";"Aufrechtes F. – P. recta L.30* Stg bogig aufsteigend b";"Z z"
"– P. crantzii (CRANTZ) BECK et FRITSCH";"Zottiges F., Crantz-F. – P. crantzii (CRANTZ) BECK et FRITSCH";"Z s"
"– F. × ananassa (DUCHESNE) GUEDES";"Garten-E. – F. × ananassa (DUCHESNE) GUEDES";"N v"
"– F. virginiana MILL.";"Scharlach-E., Virginische E. – F. virginiana MILL.";"Z s"
"– F. chiloensis (L.) MILL.";"Chile-E. – F. chiloensis (L.) MILL.";"Z s"
"– F. moschata (DUCHESNE) WESTON";"Zimt-E. – F. moschata (DUCHESNE) WESTON";"Z s"
"– D. indica (ANDREWS) FOCKE";"Indische Sch. – D. indica (ANDREWS) FOCKE";"N z"
"– A. sericea WILLD.";"Langzähniger F. – A. sericea WILLD.";"Z s"
"– A. conjuncta BAB.4* BlSpreite auf (60–";"Verbundener F. – A. conjuncta BAB.4* BlSpreite auf (60–";"Z s"
"– A. nitida BUSER";"Glänzender F. – A. nitida BUSER";"Z s"
"– A. hoppeana (RCHB.) DALLA TORRE";"Hoppe-F. – A. hoppeana (RCHB.) DALLA TORRE";"Z s"
"– A. alpigena BUSER";"Kalkalpen-F. – A. alpigena BUSER";"Z s"
"– A. faeroensis (LANGE) BUSER8* BlSpreit";"Färöer-F. – A. faeroensis (LANGE) BUSER8* BlSpreit";"Z s"
"– A. splendens H. CHRIST ex GREMLI9* BlO";"Schimmernder F. – A. splendens H. CHRIST ex GREMLI9* BlO";"Z s"
"– A. sericata BUSER";"Seidiger F. – A. sericata BUSER";"Z s"
"– A. glaucescens WALLR.11* Haare an BlSt";"Weichhaariger F., Bastard-F. – A. glaucescens WALLR.11* Haare an BlSt";"Z s"
"– A. caucasica BUSERÄhnlich: Rotstielige";"Kaukasus-F. – A. caucasica BUSERÄhnlich: Rotstielige";"Z s"
"– A. vulgaris L. em. S. E. FRÖHNER12* KZ";"Gewöhnlicher F., Spitzlappiger F. – A. vulgaris L. em. S. E. FRÖHNER12* KZ";"Z s"
"– A. epipsila JUZ.";"Kahlblättriger F. – A. epipsila JUZ.";"Z s"
